id,state,name,resolutionStatus,resolutionVersion,relatedActiveOrPendingRecord,leadType,likelyLayer,status,reasonRemoved,notes
mt-lead-fwp-glasgow-base-pond-fas,MT,Glasgow Base Pond FAS,promoted_active,v23.1.96,mt-v23196-glasgow-base-pond-fishing-access-site,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
mt-lead-fwp-conclow-fas,MT,Conclow FAS,rejected,v23.1.96,,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Rejected from Worker 10 return; no camping/overnight proof or official no overnight/use conflict.
mt-lead-fwp-amelia-island-fas,MT,Amelia Island FAS,rejected,v23.1.96,,FWP FAS coordinate/camping rescue,Boat / Backpack,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Rejected from Worker 10 return; no camping/overnight proof or official no overnight/use conflict.
mt-lead-fwp-gartside-reservoir-fas,MT,Gartside Reservoir FAS,promoted_active,v23.1.96,mt-v23196-gartside-reservoir-fishing-access-site,FWP FAS coordinate/camping rescue,Rustic / Primitive,gis_extraction_needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
ne-lead-streeter-park-identity-proof,NE,Streeter Park Campground identity / municipal proof,resolved_existing_corrected,v23.1.94,s886,coordinate_rescue / agency_contact_needed,"Rustic / Primitive, Modern Campgrounds, or Needs Verification",coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing s886 corrected/annotated; no duplicate added.
ks-lead-manifest-load-audit,KS,Kansas state file exists but is missing from stable manifest,resolved_no_map_data_change,v23.1.96,,needs_supervisor_review,"Info / Reference / QA, not campsite layer",needs_supervisor_review,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Manifest QA item reviewed; current available manifest contains KS.js. No campsite data change made.
pa-needs-lambs-creek-recreation-area-no-overnight-proof,PA,Lambs Creek Recreation Area,rejected,v23.1.94,,needs_verification,Needs Verification,"Recreation.gov facility found, but appears day-use/group shelter rather than overnight campground",Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Rejected: no overnight campground proof; appears day-use/group-shelter trap.
pa-conewago-campground-coordinate-rescue,PA,Conewago Campground,promoted_active,v23.1.94,pa-v23194-conewago-campground,coordinate_rescue,Private Campgrounds,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
pa-friendship-village-campground-coordinate-rescue,PA,Friendship Village Campground & RV Park,promoted_active,v23.1.94,pa-v23194-friendship-village-campground,coordinate_rescue,Private Campgrounds,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
ia-lead-coralville-sugar-bottom-campground,IA,Sugar Bottom Campground,promoted_active,v23.1.96,ia-v23196-sugar-bottom-campground-coralville,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-coralville-sandy-beach-campground,IA,Sandy Beach Campground,promoted_active,v23.1.96,ia-v23196-sandy-beach-campground-coralville,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-coralville-tailwater-east-campground,IA,Tailwater East Campground,promoted_active,v23.1.96,ia-v23196-tailwater-east-campground-coralville,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-coralville-tailwater-west-campground,IA,Tailwater West Campground,promoted_active,v23.1.96,ia-v23196-tailwater-west-campground-coralville,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-red-rock-howell-station-campground,IA,Howell Station Campground,promoted_active,v23.1.96,ia-v23196-howell-station-campground-red-rock,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-red-rock-wallashuck-campground,IA,Wallashuck Campground,promoted_active,v23.1.96,ia-v23196-wallashuck-campground-red-rock,existing_lead_update,Modern Campgrounds,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-red-rock-north-overlook-campground,IA,North Overlook Campground,promoted_active,v23.1.96,ia-v23196-north-overlook-campground-red-rock,existing_lead_update,Modern Campgrounds with primitive tent-site note,official campground proof; coordinate extraction blocked,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-rathbun-buck-creek-campground,IA,Buck Creek Campground,promoted_active,v23.1.96,ia-v23196-buck-creek-campground-rathbun,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-rathbun-island-view-campground,IA,Island View Campground,promoted_active,v23.1.96,ia-v23196-island-view-campground-rathbun,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-rathbun-prairie-ridge-campground,IA,Prairie Ridge Campground,promoted_active,v23.1.96,ia-v23196-prairie-ridge-campground-rathbun,coordinate_rescue,Modern Campgrounds with group rustic note,official USACE campground proof; coordinate extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-bridge-view-campground-rathbun,IA,Bridge View Campground,promoted_active,v23.1.96,ia-v23196-bridge-view-campground-rathbun,coordinate_rescue,Modern/Rustic by amenities,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return as Bridgeview / Bridge View Campground active record.
ia-lead-coralville-linder-point-campground,IA,Linder Point Campground,promoted_active,v23.1.96,ia-v23196-linder-point-campground-coralville,coordinate_rescue,Likely Modern Campgrounds or Rustic / Primitive after amenity proof,official campground listed; facility extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return.
ia-lead-red-rock-ivans-campground,IA,Ivan’s / Ivans Campground,promoted_active,v23.1.96,ia-v23196-ivans-campground-red-rock,coordinate_rescue,Likely Rustic / Primitive or Modern after facility proof,official component listed; facility extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return; duplicate spelling variants merged.
ia-lead-rathbun-bridgeview-campground,IA,Bridgeview Campground,promoted_active,v23.1.96,ia-v23196-bridge-view-campground-rathbun,coordinate_rescue,Modern Campgrounds,official USACE campground proof; coordinate extraction needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 5 IA/KS return as Bridgeview / Bridge View Campground active record.
oh-lead-independence-dam-sp-primitive-campground,OH,Independence Dam State Park Primitive Campground,promoted_active,v23.1.94,oh-v23194-independence-dam-sp-primitive-campground,coordinate_rescue,Rustic / Primitive,`official_primitive_coordinate_rescue`,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-lead-kiser-lake-state-park-campground,OH,Kiser Lake State Park Campground,resolved_duplicate,v23.1.94,oh-v23194-kiser-lake-sp-campground,coordinate_rescue,Rustic / Primitive,ODNR campground; layer/coordinate rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into promoted Kiser Lake active record.
oh-lead-hueston-woods-state-park-campground,OH,Hueston Woods State Park Campground,promoted_active,v23.1.94,oh-v23194-hueston-woods-sp-campground,coordinate_rescue,Modern Campgrounds,ODNR campground; coordinate rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-hocking-hocking-hills-state-park-main-campground-coordinate-rescue,OH,Hocking Hills State Park Main Campground,promoted_active,v23.1.94,oh-v23194-hocking-hills-sp-main-campground,research_needed,Modern Campgrounds,Research Needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-morgan-burr-oak-state-park-campground-coordinate-rescue,OH,Burr Oak State Park Campground,promoted_active,v23.1.94,oh-v23194-burr-oak-sp-campground,research_needed,Modern Campgrounds,Research Needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-athens-strouds-run-state-park-campground-coordinate-rescue,OH,Strouds Run State Park Campground,promoted_active,v23.1.94,oh-v23194-strouds-run-state-park-campground,research_needed,Rustic / Primitive,Research Needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-athens-lake-snowden-campground-coordinate-rescue,OH,Lake Snowden Campground,resolved_duplicate,v23.1.94,oh-v23194-lake-snowden-campground,research_needed,Rustic / Primitive,Research Needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into promoted Lake Snowden active record.
il-shawnee-nf-dispersed-camping-area-rule,IL,Shawnee National Forest dispersed / primitive camping rule area,resolved_existing_corrected,v23.1.94,"Existing active broad `Shawnee National Forest` row found, but it is not honestly worded as an approximate area/rule marker",correction_candidate,Boondocking / Dispersed,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
il-saline-garden-of-gods-pharaoh-campground,IL,Garden of the Gods / Pharaoh Campground,promoted_active,v23.1.94,il-v23194-pharaoh-campground-garden-of-the-gods,correction_candidate,Rustic / Primitive,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 7 return.
il-gallatin-camp-cadiz-campground,IL,Camp Cadiz Campground,resolved_existing_corrected,v23.1.94,"Existing active `Camp Cadiz` found, but stale layer/subtype says modern/state",correction_candidate,Rustic / Primitive,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
il-jackson-johnson-creek-recreation-area-campground,IL,Johnson Creek Recreation Area Campground,resolved_existing_corrected,v23.1.94,"Existing active `Johnson Creek Recreation Area` found, but row is still messy and not cleanly layered",correction_candidate,Rustic / Primitive,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
il-gallatin-pine-ridge-campground-pounds-hollow,IL,Pine Ridge Campground / Pounds Hollow Recreation Area,resolved_existing_corrected,v23.1.94,Existing active `Pine Ridge Campground` found; no active `Pounds Hollow` alias row,correction_candidate,Rustic / Primitive,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
il-jackson-turkey-bayou-campground,IL,Turkey Bayou Campground / Oakwood Bottoms,resolved_existing_corrected,v23.1.94,Existing active `Turkey Bayou` and `Oakwood Bottoms` rows found,correction_candidate,Rustic / Primitive,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
il-lead-sand-ridge-state-forest-area-rule-correction,IL,Sand Ridge State Forest backcountry/equestrian/primitive area marker correction,resolved_existing_corrected,v23.1.94,Existing coordinate duplicate in IL runtime data,correction_candidate,Boondocking / Dispersed,existing_coordinate_duplicate_area_rule_cleanup,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing IL active row corrected/normalized from Worker 7 return.
ne-lead-long-pine-sra-basic-campground-coordinate-rescue,NE,Long Pine SRA Basic Campground,resolved_duplicate,v23.1.94,ne-v23194-long-pine-sra-basic-campground,coordinate_rescue,Rustic / Primitive,Official coordinate rescue lead,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into Long Pine active record.
ne-lead-ne-brown-ainsworth-east-city-park-campground,NE,Ainsworth East City Park Campground,promoted_active,v23.1.94,ne-v23194-ainsworth-east-city-park-campground,coordinate_rescue,Rustic / Primitive,New active candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lead-ne-holt-atkinson-mill-race-park-campground,NE,Atkinson Mill Race Park Campground,promoted_active,v23.1.94,ne-v23194-atkinson-mill-race-park-campground,coordinate_rescue,Rustic / Primitive,New active candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lead-ne-rock-bassett-rv-camping-pads,NE,Bassett RV Camping Pads / Fishing Ponds Area,promoted_active,v23.1.94,ne-v23194-bassett-rv-camping-pads,coordinate_rescue,Rustic / Primitive,New active candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lead-ne-w8-summit-lake-sra,NE,Summit Lake SRA,promoted_active,v23.1.94,ne-v23194-summit-lake-sra,coordinate_rescue,Rustic / Primitive,Official proof strong; coordinate rescue needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lead-ne-w8-pelican-point-sra,NE,Pelican Point SRA,promoted_active,v23.1.94,ne-v23194-pelican-point-sra,coordinate_rescue,Rustic / Primitive,Official proof strong; coordinate rescue needed,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lake-mcconaughy-otter-creek-campground-coordinate-rescue,NE,Lake McConaughy Otter Creek Campground,promoted_active,v23.1.94,ne-v23194-lake-mcconaughy-otter-creek-campground,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lake-ogallala-east-campground-coordinate-rescue,NE,Lake Ogallala East Campground,promoted_active,v23.1.94,ne-v23194-lake-ogallala-east-campground,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-long-pine-sra-basic-campground-coordinate-rescue,NE,Long Pine SRA Basic Campground,promoted_active,v23.1.94,ne-v23194-long-pine-sra-basic-campground,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-lead-union-pacific-sra-basic-camping,NE,Union Pacific SRA Basic Camping,promoted_active,v23.1.94,ne-v23194-union-pacific-sra-basic-camping,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
ne-burt-summit-lake-sra-campground,NE,Summit Lake SRA Campground,resolved_duplicate,v23.1.94,ne-v23194-summit-lake-sra,coordinate_rescue,Modern Campgrounds,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into Summit Lake active record.
ne-burt-pelican-point-sra-primitive-campground,NE,Pelican Point SRA Primitive Campground,resolved_duplicate,v23.1.94,ne-v23194-pelican-point-sra,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into Pelican Point active record.
ne-w8-lake-mcconaughy-cedar-view-beach-camping,NE,Lake McConaughy Cedar View designated beach camping area,promoted_active,v23.1.94,ne-v23194-lake-mcconaughy-cedar-view-beach-camping,coordinate_rescue,Boondocking / Dispersed,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 4 return.
sd-lead-american-creek-campground-chamberlain-official-proof-coordinate-rescue,SD,American Creek Campground / City of Chamberlain Park,resolved_already_active,v23.1.94,,coordinate_rescue,Modern Campgrounds or Rustic / Primitive after proof,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
nd-valley-city-clausen-springs-park-campground-coordinate-rescue,ND,Clausen Springs Park Campground,promoted_active,v23.1.94,nd-v23194-clausen-springs-park-campground,coordinate_rescue,Rustic / Primitive / Modern TBD,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 3 return.
nd-grand-forks-afb-famcamp-restricted-access,ND,Grand Forks AFB FamCamp,rejected,v23.1.94,,coordinate_rescue,Private Campgrounds / Restricted military,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Restricted military access; not public transient camping unless public eligibility is proven.
mo-correct-pomme-nemo-landing-usace-modern,MO,Nemo Landing Campground,resolved_existing_corrected,v23.1.94,s639,correction_candidate,Modern Campgrounds,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Nemo row corrected.
mo-w8-long-branch-2026-closure,MO,Long Branch State Park campground,resolved_existing_corrected,v23.1.94,s560,correction_candidate,Modern Campgrounds,correction_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Existing Long Branch row updated with 2026 closure warning.
mt-future-brush-lake-state-park-campground,MT,Brush Lake State Park campground,promoted_active,v23.1.96,mt-v23196-brush-lake-state-park-campground,out_of_scope_future_lead,Rustic / Primitive or Modern after proof,future_lead,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
mt-lead-red-rock-lakes-upper-lake-campground-coordinate-rescue,MT,Red Rock Lakes NWR — Upper Lake Campground,promoted_active,v23.1.96,mt-v23196-red-rock-lakes-upper-lake-campground,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
mt-future-beavertail-hill-state-park-campground,MT,Beavertail Hill State Park Campground,promoted_active,v23.1.96,mt-v23196-beavertail-hill-state-park-campground,out_of_scope_future_lead,Modern Campgrounds or Rustic / Primitive after service review,future_lead,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
oh-v73-kiser-lake-coordinate-rescue,OH,Kiser Lake State Park Campground,promoted_active,v23.1.94,oh-v23194-kiser-lake-sp-campground,coordinate_rescue,Rustic / Primitive,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
oh-v73-lake-snowden-coordinate-rescue,OH,Lake Snowden Campground,promoted_active,v23.1.94,oh-v23194-lake-snowden-campground,coordinate_rescue,Private Campgrounds,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 8 return.
tn-v74-pickwick-tva-campground-coordinate-rescue,TN,Pickwick Dam TVA Campground,promoted_active,v23.1.94,tn-v23194-pickwick-dam-tva-campground,coordinate_rescue,Modern / Rustic component,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 9 return.
tn-w8-pickwick-dam-tva-campground,TN,Pickwick Dam TVA Campground,resolved_duplicate,v23.1.94,tn-v23194-pickwick-dam-tva-campground,coordinate_rescue,Modern Campgrounds + primitive tent component,coordinate_rescue,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Merged into promoted Pickwick Dam TVA active record.
ks-lead-lake-atwood-south-campground-coordinate,KS,Lake Atwood South Campground / RV hookups coordinate history,resolved_existing_protected,v23.1.96,,coordinate_rescue,Modern,resolved_in_active,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Coordinate-history protection: preserve Tod-provided coordinate unless newer authoritative proof contradicts it.
ks-lead-arkalon-park-coordinate-conflict-qa,KS,Arkalon Park Campground coordinate-conflict QA,resolved_existing_protected,v23.1.96,,coordinate_rescue,Modern,resolved_in_active,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Coordinate-conflict QA: preserve Tod-provided coordinate unless newer authoritative proof contradicts it.
mt_homestake_pass_dispersed_lead,MT,Homestake Pass dispersed camping / Homestake Road area,promoted_active,v23.1.96,mt-v23196-homestake-pass-dispersed-camping,boondocking_social_app_lead,Boondocking / Dispersed,promoted_to_active_community_reported_with_remaining_geometry_sanity,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 10 Western/blank-state return.
sd-v23190-lead-sica-hollow-state-park-campground-horse-camp,SD,Sica Hollow State Park Campground / Horse Camp,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Rustic / Primitive,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-fort-sisseton-historic-state-park-campground,SD,Fort Sisseton Historic State Park Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-lake-cochrane-recreation-area-campground,SD,Lake Cochrane Recreation Area Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-lake-poinsett-recreation-area-campgrounds,SD,Lake Poinsett Recreation Area Campgrounds,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-mina-lake-recreation-area-campground,SD,Mina Lake Recreation Area Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-richmond-lake-recreation-area-campground,SD,Richmond Lake Recreation Area Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-pelican-lake-recreation-area-campground,SD,Pelican Lake Recreation Area Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-fisher-grove-state-park-campground,SD,Fisher Grove State Park Campground,resolved_already_active,v23.1.94,,sd_public_discovery_coordinate_or_correction_rescue_v23190,Modern Campgrounds,add_candidate,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Already represented in current state data; no duplicate added.
sd-v23190-lead-river-city-campground,SD,River City Campground,promoted_active,v23.1.94,sd-v23194-river-city-campground,sd_public_discovery_coordinate_or_correction_rescue_v23190,Private Campgrounds,needs_verification,Resolved lead no longer belongs in active lead backlog; retained in this cleanup ledger with resolution metadata.,Promoted from Worker 3 return.
