id,state,name,bucket,recommendedAction,reason,status,leadType,likelyLayer,hasCoordinate,priority
nd-lead-speck-davis-pond-community-review,ND,Speck Davis Pond WMA community boondocking lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / gis_extraction_needed,Boondocking / Dispersed,no,Medium
nd-lead-cedar-lake-community-review,ND,Cedar Lake WMA community boondocking lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / gis_extraction_needed,Boondocking / Dispersed,no,Medium
nd-lead-killdeer-mountains-community-review,ND,Killdeer Mountains WMA community boondocking lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / gis_extraction_needed,Boondocking / Dispersed,no,Medium
nd-lead-adam-teresa-raab-wma-community-review,ND,Adam and Teresa Raab WMA community-proof lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / gis_extraction_needed,Boondocking / Dispersed,no,Medium
nd-lead-mineral-springs-sheyenne-river-state-forest,ND,Mineral Springs / Sheyenne River State Forest primitive backcountry-camping lead,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",agency_contact_needed,official_proof_needed,Boat / Backpack if official proof recovered,yes,High
nd-lead-warsing-dam-sheyenne-local-campground,ND,Warsing Dam / Sheyenne local campground lead,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,official_source_needed,coordinate_rescue,Rustic / Primitive or local campground if official proof recovered,no,Low-Medium
nd-lead-clausen-springs-wma-nct-overnight-proof,ND,Clausen Springs WMA / North Country Trail crossing overnight-use proof,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / official_rule_needed,Boat / Backpack or Boondocking / Dispersed if overnight proof recovered,no,Low-Medium
nd-lead-jamestown-municipal-county-camping,ND,Jamestown municipal/county camping lead,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",unattainable_from_accessible_sources,community_review / agency_contact_needed,Rustic / Primitive or Modern if official proof recovered,no,Low-Medium
nd-lead-wma-turtle-mountains-polygon-gis,ND,NDGF WMA primitive camping — Turtle Mountains cluster polygon follow-up,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-wma-devils-lake-polygon-gis,ND,NDGF WMA primitive camping — Devils Lake / north-central cluster polygon follow-up,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-wma-pembina-hills-polygon-gis,ND,NDGF WMA primitive camping — Pembina Hills / northeast cluster polygon follow-up,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-wma-sheyenne-mirror-pool-polygon-gis,ND,NDGF WMA primitive camping — Sheyenne / Mirror Pool / southeast cluster polygon follow-up,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-little-missouri-ng-geometry-upgrade,ND,Little Missouri National Grassland dispersed camping rule-area geometry upgrade,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-sheyenne-ng-geometry-upgrade,ND,Sheyenne National Grassland dispersed/open-prairie camping geometry upgrade,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,High
nd-lead-cedar-river-ng-geometry-upgrade,ND,Cedar River National Grassland dispersed camping geometry upgrade,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boondocking / Dispersed,no,Medium
nd-lead-sheyenne-water-trail-corridor-upgrade,ND,Sheyenne River Water Trail semi-primitive camping corridor geometry/site upgrade,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,gis_extraction_needed / area_outline_followup,Boat / Backpack,no,High
sd-lead-sage-creek-campground,SD,Sage Creek Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Rustic / Primitive,no,High
sd-lead-spearfish-city-campground,SD,Spearfish City Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Modern Campgrounds,no,High
sd-lead-alkali-creek-trailhead-campground,SD,Alkali Creek Trailhead Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,gis_extraction_needed,coordinate rescue / GIS extraction,Rustic / Primitive,no,High
sd-lead-left-tailrace-campground,SD,Left Tailrace Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Modern Campgrounds,no,High
sd-lead-little-white-river-lacreek-nwr,SD,Little White River Recreation Area / Lacreek NWR,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Rustic / Primitive,no,Medium
sd-lead-lake-carthage-lakeside-use-area,SD,Lake Carthage Lakeside Use Area,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Rustic / Primitive,no,Medium
sd-lead-dell-rapids-campground,SD,Dell Rapids Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Modern Campgrounds,no,Medium
sd-lead-wh-lyon-fairgrounds-campground,SD,W.H. Lyon Fairgrounds Campground,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",coordinate_rescue,coordinate rescue,Modern Campgrounds,no,Medium
sd-lead-alcester-city-park-campsites,SD,Alcester City Park Campsites,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Rustic / Primitive,no,Medium
sd-lead-elk-point-city-campground-heritage-park,SD,Elk Point City Campground / Heritage Park,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,agency_contact_needed,agency contact needed,Rustic / Primitive,no,Medium
sd-lead-colome-city-camp-sites,SD,Colome City Camp Sites,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate rescue,Rustic / Primitive,no,Medium
sd-lead-white-river-city-park-camping,SD,White River City Park Camping,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,unattainable_from_accessible_sources,agency contact needed,Rustic / Primitive,no,Low
sd-lead-goat-island-mnrra,SD,Goat Island primitive camping opportunity,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",area_outline_followup,GIS / area geometry,Boat / Backpack,no,Medium
sd-lead-james-river-island-mnrra,SD,James River Island primitive camping opportunity,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",area_outline_followup,GIS / area geometry,Boat / Backpack,no,Medium
sd-lead-wind-cave-backcountry,SD,Wind Cave National Park backcountry camping rule area,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",area_outline_followup,area/rule follow-up,"Boondocking / Dispersed or Boat / Backpack, depending schema",no,Medium
sd-lead-badlands-north-unit-backcountry,SD,Badlands North Unit backcountry rule area,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",area_outline_followup,area/rule follow-up,"Boondocking / Dispersed or Boat / Backpack, depending schema",no,Medium
sd-lead-broad-black-hills-nf-dispersed-rule-area,SD,Black Hills National Forest dispersed camping rule / MVUM area,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,GIS / area-outline,Boondocking / Dispersed,no,High
sd-lead-foster-bay-usace,SD,Foster Bay USACE lead,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",needs_supervisor_review,GIS / coordinate rescue,Rustic / Primitive or Modern unknown,no,Low
sd-lead-minneconjou-usace,SD,Minneconjou USACE lead,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",needs_supervisor_review,GIS / coordinate rescue,Rustic / Primitive or Modern unknown,no,Low
sd-lead-chantier-creek-usace,SD,Chantier Creek USACE lead,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",needs_supervisor_review,GIS / coordinate rescue,Rustic / Primitive or Modern unknown,no,Low
sd-lead-west-shore-usace,SD,West Shore USACE lead,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",needs_supervisor_review,GIS / coordinate rescue,Rustic / Primitive or Modern unknown,no,Low
mn-lead-voyageurs-frontcountry-site-coordinate-extraction,MN,Voyageurs National Park frontcountry campsite coordinate extraction,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",gis_extraction_needed,coordinate_rescue / gis_extraction_needed,Boat / Backpack,no,High
mn-lead-voyageurs-backcountry-primitive-site-coordinate-extraction,MN,Voyageurs backcountry / primitive campsite coordinate extraction,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",gis_extraction_needed,coordinate_rescue / gis_extraction_needed,Boat / Backpack,no,High
mn-lead-lake-elmo-modern-campground-coordinate-rescue,MN,Lake Elmo Park Reserve Modern Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds,no,High
mn-lead-lake-elmo-rustic-hikein-group-coordinate-rescue,MN,Lake Elmo Rustic / Hike-In / Group Campground split,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive and Boat / Backpack by component,no,High
mn-lead-st-croix-bluffs-campground-coordinate-rescue,MN,St. Croix Bluffs Regional Park campground components,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Modern Campgrounds plus Rustic / Primitive if split,no,High
mn-lead-old-wadena-park-campground-coordinate-rescue,MN,Old Wadena Park Campground,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium-High
mn-lead-long-lake-park-clearwater-official-proof,MN,"Long Lake Park & Campground, Clearwater County",ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,unattainable_from_accessible_sources,agency_contact_needed / unattainable_from_accessible_sources,Needs Verification or Rustic / Primitive if official proof recovered,no,Medium
mn-lead-elm-creek-horse-camp-coordinate-rescue,MN,Elm Creek Horse Camp,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,coordinate_rescue,coordinate_rescue,Rustic / Primitive,no,Medium
mn-lead-lake-auburn-hike-bike-split-coordinate-rescue,MN,Lake Auburn hike-in / bike-in camping split,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",coordinate_rescue,coordinate_rescue,Boat / Backpack,no,Medium
mn-lead-three-rivers-campground-gis-coordinate-upgrades,MN,Three Rivers campground GIS coordinate upgrades — Baker / Cleary / Lake Auburn,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,closed_added,coordinate_rescue / closed_added follow-up,Modern or Rustic / Primitive depending record,no,Low-Medium
mn-lead-mn-dnr-state-forest-dispersed-rule-geometry,MN,Minnesota DNR state forest dispersed camping rule-area geometry,REJECT_DUPLICATE_OR_CLOSURE_REVIEW,"Review for rejected ledger, duplicate merge, or closure/status note.","Status/action fields contain duplicate, wrong-state, closure, malformed, or do-not-import language.",gis_extraction_needed,area_outline_followup / gis_extraction_needed,Boondocking / Dispersed or Info / Reference,no,High
mn-lead-mn-dnr-state-forest-campground-geopdf-upgrades,MN,MN DNR state forest campground GeoPDF coordinate upgrades,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,coordinate_rescue / gis_extraction_needed,Rustic / Primitive,no,Medium
mn-lead-superior-nf-boundary-area-outline,MN,Superior National Forest boundary / dispersed-area outline follow-up,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,area_outline_followup / gis_extraction_needed,Boondocking / Dispersed or Info / Reference,no,High
mn-lead-superior-nf-exact-site-upgrade,MN,Superior NF rustic/backcountry exact-site upgrade,TRUE_LEAD_RESEARCH_OR_EXTERNAL,Keep as lead until proof/geometry/status is resolved.,"Still has a proof, geometry, legality, duplicate, or current-status blocker.",gis_extraction_needed,coordinate_rescue / gis_extraction_needed,Rustic / Primitive and Boat / Backpack,no,Medium
mn-lead-chippewa-nf-dispersed-backcountry-exact-extraction,MN,Chippewa NF maintained dispersed/backcountry campsite exact extraction,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",gis_extraction_needed,coordinate_rescue / gis_extraction_needed,Boat / Backpack or Rustic / Primitive by access,no,High
mn-lead-washington-county-campground-pdf-georeference,MN,Washington County campground PDF georeference package,ORDINARY_CAMPGROUND_COORDINATE_RESCUE,Run practical address-to-map rescue; entrance/campground-area coordinate can be acceptable with honest popup.,Looks like ordinary campground/operator/city/county record held mainly for coordinate/source cleanup.,gis_extraction_needed,gis_extraction_needed / coordinate_rescue,Modern / Rustic / Boat-Backpack by component,no,High
mn-lead-community-supported-boondocking-clusters-mn-review,MN,Minnesota community-supported boondocking clusters — named-cluster review needed,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review,Boondocking / Dispersed,no,Low-Medium
wi-lead-cnf-goodman-dispersed-sites-1-4,WI,Goodman dispersed sites 1–4 / CNF hard lead cluster,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / coordinate_rescue / gis_extraction_needed,Boondocking / Dispersed,no,High
wi-lead-cnf-robinson-lake-cluster,WI,Robinson Lake cluster,AREA_RULE_COMMUNITY_OR_OVERLAY_CANDIDATE,Evaluate as area/rule/community marker or overlay candidate; do not force exact campground coordinates.,"Looks like rule-area, boondocking, community, WMA/forest, permit, GIS, or overlay work.",community_review,community_review / coordinate_rescue / duplicate_watch,Boondocking / Dispersed or Rustic / Primitive,no,High
