priority,state,id,name,layer,lat,lng,risk_signals,recommended_action,notes
P1,KS,ks-clark-sfl-southend-primitive,Clark State Fishing Lake — Southend Primitive Camping / Day Use,Rustic / Primitive,37.38254,-99.78162,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-council-grove-lake-canning-creek,Council Grove Lake — Canning Creek Campground,Modern Campgrounds,38.692317,-96.537283,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-council-grove-lake-richey-cove,Council Grove Lake — Richey Cove Campground,Modern Campgrounds,38.700833,-96.49745,vague/uncertain wording in non-boondocking record; access wording suggests Boat / Backpack review,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-council-grove-lake-santa-fe-trail,Council Grove Lake — Santa Fe Trail Campground,Modern Campgrounds,38.681617,-96.524817,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; Modern layer lacks visible modern-service proof in record text,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cowley-sfl-hill-top-campground,Cowley State Fishing Lake — Hill Top Campground,Rustic / Primitive,37.100433,-96.801867,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cowley-sfl-shoreline-campground,Cowley State Fishing Lake — Shoreline Campground,Rustic / Primitive,37.102833,-96.787883,vague/uncertain wording in non-boondocking record,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-crawford-oak-point-campground,Crawford State Park — Oak Point Campground,Modern Campgrounds,37.6402,-94.807183,Modern layer conflicts with rustic/no-service wording,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cross-timbers-holiday-hill-blackjack-camping-area,Cross Timbers State Park — Holiday Hill / Blackjack Camping Area,Modern Campgrounds,37.7482,-95.937533,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-cross-timbers-toronto-point-camping-area,Cross Timbers State Park — Toronto Point Camping Area,Modern Campgrounds,37.7771,-95.939667,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-eldorado-bluestem-point-camping-area,El Dorado State Park — Bluestem Point Camping Area,Modern Campgrounds,37.850217,-96.750133,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-elk-city-comfort-cove-camping-area,Elk City State Park — Comfort Cove Camping Area,Modern Campgrounds,37.255983,-95.775017,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-elk-city-day-use-camping-area,Elk City State Park — Day Use Camping Area,Modern Campgrounds,37.251517,-95.779267,proxy-feature wording/name (review if used as exact campsite); Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-fall-river-fredonia-bay-camping-area,Fall River State Park — Fredonia Bay Camping Area,Modern Campgrounds,37.657067,-96.096867,Modern layer conflicts with rustic/no-service wording; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-ford-sfl-camping-area,Ford State Fishing Lake — Camping Area,Rustic / Primitive,37.82191,-99.922,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-w3-horsethief-reservoir-campground,HorseThief Reservoir Campground,Modern Campgrounds,38.059391,-100.055408,Modern layer conflicts with rustic/no-service wording,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-lake-afton-park-campground,Lake Afton Park Campground,Modern Campgrounds,37.61400067,-97.63100067,Modern layer conflicts with rustic/no-service wording,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-lyon-sfl-shelterhouse-primitive-camp,Lyon State Fishing Lake — Shelter House Primitive Camping Area,Rustic / Primitive,38.542433,-96.057583,vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-01,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 1,Rustic / Primitive,38.42522,-94.7891,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-10,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 10,Rustic / Primitive,38.41796,-94.79456,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-11,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 11,Rustic / Primitive,38.417,-94.79408,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-12,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 12,Rustic / Primitive,38.4175,-94.79214,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-13,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 13,Rustic / Primitive,38.41862,-94.79092,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-02,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 2,Rustic / Primitive,38.42445,-94.79015,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-03,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 3,Rustic / Primitive,38.4235,-94.79073,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-04,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 4,Rustic / Primitive,38.4228,-94.79198,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-05,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 5,Rustic / Primitive,38.42239,-94.79391,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-06,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 6,Rustic / Primitive,38.42235,-94.7951,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-07,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 7,Rustic / Primitive,38.42167,-94.79529,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
P1,KS,ks-miami-sfl-earthen-pier-08,Miami State Fishing Lake — Earthen Pier Primitive Camping Point 8,Rustic / Primitive,38.42054,-94.79523,proxy-feature wording/name (review if used as exact campsite); vague/uncertain wording in non-boondocking record; broad park/forest/lake/river/system name; review as area/rule or component split,"High-priority manual review: possible wrong feature, wrong access type, fake precision, or contradicted service layer.",Automated risk flag only; user-approved nuance: boondocking/community vagueness and park/campground entrances are not automatic defects.
