id,state,name,countyRegion,leadType,likelyLayer,status,priority,sourceType,coordinateConfidence,blocker,nextAction,relatedActiveOrPendingRecord,lastCheckedVersion,notes
ar-v74-beaver-lake-usace-campgrounds-coordinate-rescue,AR,Beaver Lake USACE campground component bundle,Beaver Lake / NW Arkansas,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Recreation.gov gateway proves 11 campgrounds but component coordinates were blocked.,"Extract Dam Site Lake/River, Horseshoe Bend, Hickory Creek, Indian Creek, Lost Bridge North/South, Prairie Creek, Rocky Branch, Starkey, War Eagle from RIDB/Recreation.gov/USACE maps.",,v23.1.74,
ar-v74-hobbs-state-park-hike-bike-camps-correction,AR,Hobbs State Park-Conservation Area primitive hike/bike-in campsites,Benton County,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Existing active row likely uses broad park coordinate and wrong modern-style model for primitive camps.,Correct layer/details and rescue exact Pigeon Roost/Karst primitive campsite coordinates from official maps/reservation data.,,v23.1.74,
ar-v74-erbie-horse-camp-coordinate-rescue,AR,Erbie Horse Camp,Buffalo National River / Newton County,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,NPS proves primitive horse camp but separate exact GPS was not exposed.,Use NPS map/GIS/campsite map or agency confirmation; do not reuse main Erbie campground GPS unless source says so.,,v23.1.74,
ar-v74-bull-shoals-usace-arkansas-components,AR,Bull Shoals Lake USACE Arkansas-side campground components,Bull Shoals Lake,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Recreation.gov gateway proves USACE campground system but component coordinates/layers need extraction.,"Extract Beaver Creek, Buck Creek, Highway 125 Park, Lakeview Park, Lead Hill and related Arkansas-side components; keep separate from active Bull Shoals-White River SP.",,v23.1.74,
ar-lead-lead-hill-park-coordinate-conflict,AR,Lead Hill Park,Bull Shoals Lake / Boone County,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE + Recreation.gov,Official proof strong; coordinate conflict unresolved,"coordinate conflict; Official source has proof, but the coordinate looks wrong enough to fail the smell test. Don’t force it.; Do not import the suspect coordinate; pull RIDB/Recreation.gov metadata or official park map",Add/keep coordinate-rescue lead.,,v23.1.75,No
ar-big-timber-wma-designated-campsites,AR,Big Timber WMA Designated Campsites,Clark / Big Timber Leased Lands,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,Official designated-site proof; exact points blocked,geometry_rescue; Scattered tract geometry makes this a bad candidate for one approximate pin.; Checked AGFC page; did not find exact campsite point coordinates.,Keep/update lead,,v23.1.75,Yes — AGFC map/GIS or leased-land campsite list needed; scattered tracts make broad marker especially risky
ar-degray-lenox-marcus-open-camping-area-geometry,AR,Lenox Marcus Area Open Camping — DeGray Lake USACE,Clark / DeGray Lake,coordinate_rescue,Rustic / Primitive / Area-rule lead,coordinate_rescue,High,Official USACE DeGray page,No safe single point; area geometry needed,"Official 200-acre open camping proof; geometry blocked; Named target; this is probably an area/outline record, not a point.; Acquisition path: DeGray map/GIS/parcel/official boundary; QGIS/GDAL area extraction; do not use area centroid unless approved warning marker.",Add durable geometry lead.,,v23.1.75,Yes
ar-degray-ozan-point-open-camping-coordinate-rescue,AR,Ozan Point Open Camping — DeGray Lake USACE,Clark / DeGray Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE DeGray page + USACE map image,Coordinate blocked; official campsite map image visible but not georeferenced,"Official USACE open camping proof; coordinate blocked; Named target; classify Rustic/Primitive unless electric/showers proven.; Acquisition path: RIDB/Recreation.gov if present, or QGIS/GDAL georeference USACE Ozan Point map.",Add durable lead.,,v23.1.75,Yes
ar-degray-oak-bower-group-use-coordinate-rescue,AR,Oak Bower Group Use Area — DeGray Lake USACE,Clark / DeGray Lake / Big Hill Creek arm,coordinate_rescue,Rustic / Primitive / group camp,coordinate_rescue,High,Official USACE DeGray page,Address only; coordinate blocked,"Adjacent same-system group-use camping facility; coordinate blocked; Adjacent same-system component.; Acquisition path: USACE reservation application, facility map, address/imagery check.",Add durable lead.,,v23.1.75,Yes
ar-v74-degray-remaining-usace-components,AR,DeGray Lake remaining USACE campground components,DeGray Lake,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Edgewood, Point Cedar, Ozan Point, Lenox Marcus and other DeGray components need coordinate/status extraction.",Use Recreation.gov/RIDB/USACE maps; split primitive subareas where source supports it.,,v23.1.74,
ar-v74-st-francis-nf-camping-system-geometry,AR,St. Francis NF / Mississippi River State Park camping system geometry,East Arkansas / St. Francis NF,coordinate_rescue,Boondocking / Dispersed or Info pending proof,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Partnership/forest camping context exists but broader dispersed legality unclear.,"Check USFS St. Francis NF recreation/dispersed rules, MVUM/forest map, and agency guidance; do not create forest centroid.",,v23.1.74,
ar-v74-felsenthal-nwr-designated-camping-geometry,AR,Felsenthal NWR designated primitive camping areas,Felsenthal NWR / Ashley-Union-Bradley,geometry_extraction,Boat / Backpack / Rustic,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,USFWS/AGFC prove designated primitive camping but exact camping areas/points need extraction.,Extract USFWS georeferenced maps/PDFs and AGFC water-trail/access data; do not use refuge office or lake centroid.,,v23.1.74,
ar-gulpha-gorge-campground-coordinate-rescue,AR,Gulpha Gorge Campground,Garland / Hot Springs National Park,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official NPS page / Recreation.gov target,Coordinate blocked; NPS page has campground map/amenities but no accessible lat/lon captured,Official NPS campground proof; exact coordinate still blocked in accessible text; Strong active candidate once coordinate is captured.; Acquisition path: NPS campground map metadata or Recreation.gov facility/RIDB metadata; do not use Bathhouse Row/visitor-center/park centroid.,Add durable lead; promote to Modern when exact facility coordinate is rescued.,,v23.1.75,Yes — Recreation.gov/RIDB facility coordinate or NPS map extraction.
ar-lake-ouachita-stephens-park-coordinate-rescue,AR,Stephens Park Campground — Lake Ouachita USACE,Garland / Lake Ouachita / Blakely Dam,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system USACE component; official proof but coordinate not captured; Adjacent same-system Lake Ouachita component discovered while resolving named targets.; Acquisition path: USACE campground map / Recreation.gov/RIDB facility coordinate.,Add durable lead; promote when coordinate extracted.,,v23.1.75,Yes
ar-lake-ouachita-brady-mountain-campground-coordinate-rescue,AR,Brady Mountain Campground — Lake Ouachita USACE,Garland / Lake Ouachita / Royal,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page + map-link QA,Coordinate conflict/proxy risk; USACE page has address but map link hq references Brady Mountain Resort,"Official USACE campground proof; embedded map link appears to target Brady Mountain Resort/nearby feature, so coordinate not accepted; Real campground; blocked only by coordinate confidence.; Acquisition path: Recreation.gov/RIDB facility coordinate or official campground map georeference; do not use Brady Mountain Resort/marina coordinate.",Add durable lead; promote when facility coordinate lands on campground loop/entrance.,,v23.1.75,Yes — resolve map/proxy conflict.
ar-lake-ouachita-primitive-north-end-areas-geometry,AR,Lake Ouachita primitive north-end / island camping areas,Garland / Montgomery / Lake Ouachita,coordinate_rescue,Boat / Backpack / Boondocking / Dispersed,coordinate_rescue,High,Official USACE lake page,Geometry blocked; no safe single point,"Official USACE primitive/island camping proof; geometry needed; Do not flatten into one lake centroid.; Acquisition path: USACE lake map/Hi-Res map, RIDB, QGIS/GDAL/GeoPDF; separate drive-in primitive vs boat-in only.",Add durable geometry lead.,,v23.1.75,Yes — component extraction/polygons/points.
ar-lake-ouachita-buckville-primitive-coordinate-rescue,AR,Buckville primitive camping area — Lake Ouachita USACE,Garland / north Lake Ouachita,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked; no map link captured,"Official primitive area proof; exact campground coordinate blocked; Named target; good non-modern lead.; Acquisition path: USACE map, official campground map, RIDB/agency coordinate, or QGIS from lake map.",Add durable lead.,,v23.1.75,Yes
ar-v74-camp-clearfork-group-camp,AR,Camp Clearfork Group Camp,Garland / west of Hot Springs,coordinate_rescue,Rustic / Primitive or Modern group camp,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Group facility appears real but booking/status/coordinate need official source check.,Use USFS group-camp page/Recreation.gov/group reservation metadata; classify by amenities.,,v23.1.74,
ar-degray-edgewood-campground-coordinate-rescue,AR,Edgewood Campground — DeGray Lake USACE,Hot Spring / Clark edge / DeGray Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE DeGray page + Recreation.gov link,Address only; map image access blocked; no safe lat/lon,Official USACE campground proof and address; coordinate not extracted; Named target; do not use DeGray lake/park centroid.; Acquisition path: Recreation.gov/RIDB facility coordinate or USACE map/GIS; address/imagery check required.,Add durable lead; promote once coordinate safe.,,v23.1.75,Yes
ar-degray-point-cedar-campground-coordinate-rescue,AR,Point Cedar Campground — DeGray Lake USACE,Hot Spring / DeGray Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE DeGray page,Coordinate blocked; official campsite map image available but not georeferenced,Official USACE campground proof; coordinate blocked; Named target.; Acquisition path: Recreation.gov/RIDB or georeference USACE Point Cedar map with QGIS/GDAL.,Add durable lead.,,v23.1.75,Yes
ar-v74-gulpha-gorge-nps-coordinate-rescue,AR,Gulpha Gorge Campground — Hot Springs National Park,Hot Springs NP / Garland,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,NPS public campground appears real but safe official coordinate/amenities were not captured.,Acquire NPS/Recreation.gov official coordinate or NPS campground map before import.,,v23.1.74,
ar-howard-county-wma-designated-campsites,AR,Howard County WMA Designated Campsites,Howard / Gillham-Dierks edge,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,Official designated-site proof; exact points blocked,geometry_rescue; Do not use Gillham Lake dam area as the WMA campsite coordinate.; Checked AGFC page and map index; no exact campsite coordinates parsed.,Keep/update geometry lead,,v23.1.75,Yes — extract from Howard County WMA PDF/GIS; separate WMA campsite points from Blue Ridge/Gillham dam-area campground leads
ar-v74-cossatot-river-state-park-component-correction,AR,Cossatot River State Park camping component split/source correction,Howard / Polk / Cossatot River,coordinate_rescue,Rustic / Boat / Backpack components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,Existing broad state row needs official component/source cleanup.,Extract Arkansas State Parks map/reservation/GIS for tent/canoe/backpacking/riverside components; do not treat broad natural-area coordinate as all campsites.,,v23.1.74,
ar-millwood-cottonshed-park-coordinate-rescue,AR,Cottonshed Park Campground — Millwood Lake USACE,Howard / Sevier / Millwood Lake,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE Little Rock District page,Coordinate blocked,Official USACE campground proof; coordinate blocked; Layer may downgrade to Rustic/Primitive if shower/modern restroom proof absent.; Acquisition path: Recreation.gov/RIDB coordinate or official campground map; verify Modern only if restroom/shower proof found elsewhere.,Add durable lead; promote after coordinate/layer QA.,,v23.1.75,Yes
ar-lafayette-county-wma-north-ccc-road-designated-camping,AR,Lafayette County WMA North CCC Road Designated Sites,Lafayette / Bradley east,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC + AGFC map PDF/index,Official designated-site proof; road-corridor geometry blocked,geometry_rescue; A broad North CCC Road midpoint would be too sloppy. Don’t do that.; Checked AGFC WMA page and map index; map PDF parsed poorly and did not yield campsite coordinates.,Keep/update geometry lead,,v23.1.75,Yes — download/open `Lafayette County WMA.pdf` in QGIS/Avenza/GDAL and extract campsite symbols or road-corridor-labeled designated sites
ar-v74-lake-greeson-usace-components,AR,Lake Greeson USACE campground components,Lake Greeson,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Bear Creek, Kirby Landing, Self Creek/Jim Wylie, Parker Creek, Cowhide Cove and related components need coordinate rescue.",Pull RIDB/Recreation.gov/USACE map coordinates; keep separate from Daisy State Park.,,v23.1.74,
ar-v74-lake-ouachita-usace-components,AR,Lake Ouachita USACE campground components,Lake Ouachita,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Brady Mountain, Crystal Springs, Denby Point, Joplin, Tompkins Bend, Buckville and related components need exact facility coordinates.",Pull RIDB/Recreation.gov facility API and USACE campground maps; do not use lake/dam/marina coordinates.,,v23.1.74,
ar-lead-mississippi-river-sp-beech-point-walkin-tent-sites,AR,Beech Point Campground — Tent-only Sites 15T–17T,Lee / Bear Creek Lake,coordinate_rescue,Boat / Backpack,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted",Official proof; component split needed; Layer should be Boat/Backpack only if site access truly walk-in/no normal vehicle at site; otherwise Rustic.; Coordinate must come from reservation-map/site metadata or georeferenced MRSP map.,Resolve access before active import.,,v23.1.75,YES — ReserveArkansas or QGIS map georeference
ar-lead-mississippi-river-sp-lone-pine-campground-coordinate-rescue,AR,Lone Pine Campground / Bear Creek Lake,Lee / Bear Creek Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted",Official proof; coordinate blocked; Good non-modern component lead.; Need ReserveArkansas/site map or QGIS georeference of MRSP map; do not use Bear Creek Lake center.,Extract coordinate and promote as Rustic/Primitive if loop point is defensible.,,v23.1.75,YES — reservation metadata / GeoPDF or map georeference
ar-lead-mississippi-river-sp-beech-point-aaa-campground-coordinate-rescue,AR,Beech Point Campground — AAA Sites 1–14,Lee / Bear Creek Lake / Mississippi River SP / St. Francis NF,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted","Official proof; coordinate blocked; Do not use visitor center, lake center, boat ramp, or Bear Creek day-use as proxy.; ReserveArkansas camping page returned 403; MRSP map parsed but no georeferenced coordinates; PDF screenshot cache failed","Extract exact campground loop coordinate from ReserveArkansas, map georeference, or agency GIS; then promote.",,v23.1.75,YES — ReserveArkansas metadata / official map georeference / QGIS
ar-lead-mississippi-river-sp-maple-flats-group-campground-coordinate-rescue,AR,Maple Flats Group Campground,Lee / Bear Creek Lake Recreation Area,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official state park page + official PDF map,"Official ASP page + MRSP map; high proof, coordinate not safely extracted","Official proof; coordinate blocked; Do not import as ordinary individual campsite loop without group-only status.; Need campground-area coordinate from reservation metadata, official map georeference, or agency contact.",Add durable group-camp lead; promote only if public reservation/use is confirmed.,,v23.1.75,YES — official map georeference / agency contact
ar-lead-st-francis-nf-mississippi-river-sp-camping-system-geometry,AR,St. Francis NF / Mississippi River SP Camping-System Geometry,Lee / Phillips / St. Francis NF,coordinate_rescue,Needs Verification,coordinate_rescue,High,Official state park page + official PDF map,Official state park + MRSP map; broad rule not proven,Official named campground system proved; broad dispersed/rule marker not proven; Do not create a St. Francis NF centroid or visitor-center pin.; Official USFS St. Francis NF dispersed/camping rule source not recovered; use MVUM/USFS recreation inventory/agency contact.,Keep as geometry/rule-system lead until official USFS dispersed/rule proof is found.,,v23.1.75,YES — USFS MVUM/GIS/rules extraction
ar-v74-mississippi-river-sp-component-coordinate-rescue,AR,Mississippi River State Park campground components,Lee / Phillips / St. Francis NF edge,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Beech Point, Storm Creek, Lone Pine, Maple Flats have official component proof but exact coordinates blocked.",Extract official state-park map/ReserveArkansas metadata; split modern/tent/primitive/group components.,,v23.1.74,
ar-millwood-beards-lake-coordinate-rescue,AR,Beard's Lake Campground — Millwood Lake USACE,Little River / Millwood Lake,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE Little Rock District page,Coordinate blocked,Official USACE campground proof; coordinate blocked; Keep Rustic/Primitive unless Modern triad is judged via nearby shared facilities.; Acquisition path: Recreation.gov/RIDB coordinate or official map/address imagery.,Add durable lead.,,v23.1.75,Yes
ar-millwood-river-run-east-coordinate-rescue,AR,River Run East Campground — Millwood Lake USACE,Little River / Millwood Lake outlet channel,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE Little Rock District page,Coordinate blocked,Official USACE no-hookup campground proof; coordinate blocked; Non-modern target.; Acquisition path: official map/RIDB; avoid spillway/dam proxy.,Add durable lead.,,v23.1.75,Yes
ar-millwood-river-run-west-coordinate-rescue,AR,River Run West Campground — Millwood Lake USACE,Little River / Millwood Lake outlet channel,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE Little Rock District page,Coordinate blocked,Official USACE no-hookup campground proof; coordinate blocked; Non-modern target.; Acquisition path: official map/RIDB; avoid spillway/dam proxy.,Add durable lead.,,v23.1.75,Yes
ar-millwood-white-cliffs-park-coordinate-rescue,AR,White Cliffs Park Campground — Millwood Lake USACE,Little River / Sevier edge / Little River,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE Little Rock District page,Coordinate blocked,Official USACE campground proof; coordinate blocked; Meets Modern triad once coordinate rescued.; Acquisition path: Recreation.gov/RIDB coordinate or official map/address imagery.,Add durable lead.,,v23.1.75,Yes
ar-lead-agfc-northwest-ozarks-wma-designated-camping-geometry,AR,AGFC northwest/north-central WMA designated camping geometry,"McIlroy Madison, Gene Rush, White Rock, other regional WMAs",update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,No single honest point,"geometry lead; Directly tied to region/source family, but still geometry-blocked.; Need AGFC georeferenced maps / apps.agfc.com maps extraction; do not use WMA centroids",Keep/update geometry lead.,,v23.1.75,Yes
ar-sulphur-river-wma-designated-camping-geometry,AR,Sulphur River WMA Designated Camping Sites,Miller / Lafayette / Sulphur River,update_existing_lead,Boondocking / Dispersed,update_existing_lead,High,Official AGFC,Official designated-site proof; exact site geometry blocked,"rule_geometry_rescue; Do not use Mercer Bayou, Smith Park, boat ramps, or CR-6 access points as campsite pins.; Checked AGFC WMA page and map index. No campsite points extracted.",Keep/update geometry lead,,v23.1.75,Yes — extract designated campsite symbols from Sulphur River WMA Page 1/2 and 2/2 PDFs or AGFC GIS
ar-v74-millwood-usace-remaining-components,AR,Millwood Lake remaining USACE campground components,Millwood Lake,coordinate_rescue,Modern / Rustic components,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"Cottonshed, White Cliffs, Beard’s Lake, River Run East/West and Saratoga Park need coordinate/status rescue.",Extract Recreation.gov/RIDB/USACE map coordinates; keep Saratoga as closure watch until reopened.,,v23.1.74,
ar-lake-ouachita-little-fir-campground-coordinate-rescue,AR,Little Fir Campground — Lake Ouachita USACE,Montgomery / Lake Ouachita / Mt. Ida,coordinate_rescue,Modern Campgrounds,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system USACE component; official proof but coordinate not captured; Adjacent same-system component.; Acquisition path: USACE map link/Recreation.gov/RIDB coordinate.,Add durable lead.,,v23.1.75,Yes
ar-lake-ouachita-twin-creek-campground-coordinate-rescue,AR,Twin Creek Campground — Lake Ouachita USACE,Montgomery / Lake Ouachita / Mt. Ida,coordinate_rescue,Rustic / Primitive,coordinate_rescue,High,Official USACE lake page,Coordinate blocked,Adjacent same-system Class B campground; official proof but coordinate not captured; Non-modern same-system component.; Acquisition path: USACE/Recreation.gov Scan & Pay/RIDB or campground map coordinate.,Add durable lead.,,v23.1.75,Yes
ar-v74-norfork-lake-usace-primitive-components,AR,Norfork Lake USACE campground + primitive camping component bundle,Norfork Lake,coordinate_rescue,Modern / Boat / Backpack / Rustic,coordinate_rescue,High,v23.1.73 AR/TN worker return / supervisor reconciliation,NO HONEST ACTIVE COORDINATE ACCEPTED,"USACE/Recreation.gov proof exists, including primitive permit areas, but component coordinates are blocked.","Extract campground components and primitive permit areas Jordan Island, Jordan Cove, Calamity Beach, Kerley Point.",,v23.1.74,
ar-lead-norfork-primitive-permit-areas-geometry,AR,"Norfork Lake primitive permit camping areas: Jordan Island, Jordan Cove, Calamity Beach, Kerley Point",Norfork Lake / Baxter-Fulton corridor,update_existing_lead,Boat / Backpack,update_existing_lead,High,Official USACE,No exact primitive-area coordinates recovered,"geometry/permit lead; Do not use Mountain Home Project Office coordinate or lake center.; Need USACE permit map, GIS, campground map, or Project Office coordinates/areas",Keep/update lead for exact geometry.,,v23.1.75,Yes
ar-agfc-nw-nc-wma-designated-camping-batch-future,AR,AGFC Northwest / North-Central WMA Designated-Camping Batch,Northwest / North-Central AR spillover,future_lead,Boondocking / Dispersed,future_lead,High,Official AGFC maps source,Same AGFC maps/source system exists; not resolved in this narrow AR south cleanup,future_lead; Avoid scope creep. This is exactly how a cleanup pass turns into a swamp buggy.; Not worked beyond confirming the source system,Park for future pass,,v23.1.75,Yes — assign separate geography/source-system worker if Tod wants it
